target_harmonized,modality,quadrant,clinical_performance_Y,clinical_label,clinical_decisive_n,clinical_confidence,n_trials,epitope_crowding_X,x_status,fto_l1_epitope,fto_l2_format,fto_l3_use,fto_l1_lock_count,patents_grounded,ip_modalities,key_patent,blocking_assignee,x_resolved,y_resolved
HER2-DXD,ADC,UNRESOLVED,1.0,VALIDATED,14,1.0,22,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
PD-1,MAB,UNRESOLVED,1.0,VALIDATED,705,1.0,2847,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
PD-L1,MAB,UNRESOLVED,1.0,VALIDATED,209,1.0,766,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
TROP-2-DXD,ADC,UNRESOLVED,1.0,VALIDATED,16,1.0,17,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
VEGF,MAB,UNRESOLVED,1.0,VALIDATED,348,1.0,854,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
VEGFR2,MAB,UNRESOLVED,1.0,VALIDATED,27,1.0,51,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CTLA-4,MAB,UNRESOLVED,0.999,VALIDATED,57,1.0,140,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
PD-1|VEGF,BISPECIFIC,UNRESOLVED,0.997,VALIDATED,14,1.0,55,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
EGFR|MET,BISPECIFIC,UNRESOLVED,0.993,VALIDATED,8,1.0,40,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2,ADC,UNRESOLVED,0.989,VALIDATED,31,1.0,221,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
MET-MMAE,ADC,UNRESOLVED,0.989,VALIDATED,10,1.0,12,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD3,BISPECIFIC,UNRESOLVED,0.98,VALIDATED,10,1.0,42,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CLDN18.2,MAB,UNRESOLVED,0.978,VALIDATED,7,1.0,20,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
HER2,BISPECIFIC,UNRESOLVED,0.973,VALIDATED,8,1.0,27,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
TROP-2-KL610023,ADC,UNRESOLVED,0.972,VALIDATED,5,1.0,14,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-TOP1I,ADC,UNRESOLVED,0.97,VALIDATED,6,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|CD3,BISPECIFIC,UNRESOLVED,0.948,VALIDATED,13,1.0,58,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|BITE,,,False,True
HER2|PD-1,MAB,UNRESOLVED,0.926,VALIDATED,4,1.0,27,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
DLL3|CD3,BISPECIFIC,UNRESOLVED,0.912,VALIDATED,3,1.0,28,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
TISSUE FACTOR,ADC,UNRESOLVED,0.912,VALIDATED,3,1.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,True
VEGF|MUC16,MAB,UNRESOLVED,0.912,VALIDATED,5,1.0,15,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD22,CAR-T,UNRESOLVED,0.881,VALIDATED,13,1.0,75,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|HER3,BISPECIFIC,UNRESOLVED,0.858,VALIDATED,3,1.0,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CD30-MMAE,ADC,UNRESOLVED,0.85,VALIDATED,2,0.67,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
EPCAM|CD3,BISPECIFIC,UNRESOLVED,0.85,VALIDATED,4,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-1|CTLA-4,BISPECIFIC,UNRESOLVED,0.846,VALIDATED,4,1.0,24,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
NECTIN4,ADC,UNRESOLVED,0.832,VALIDATED,6,1.0,29,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
CD22,ADC,UNRESOLVED,0.802,VALIDATED,7,1.0,14,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
EGFR|HER3,BISPECIFIC,UNRESOLVED,0.802,VALIDATED,3,1.0,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
EGFR|HER3-TOP1I,ADC,UNRESOLVED,0.802,VALIDATED,3,1.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|FGFR,MAB,UNRESOLVED,0.774,VALIDATED,7,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
VEGF|PD-1|PD-L1,MAB,UNRESOLVED,0.774,VALIDATED,3,1.0,15,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
BCL-2|BTK|CD20,MAB,UNRESOLVED,0.769,VALIDATED,2,0.67,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
BTLA,MAB,UNRESOLVED,0.769,VALIDATED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CD3|EGFR,BISPECIFIC,UNRESOLVED,0.769,VALIDATED,2,0.67,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-REZETECAN,ADC,UNRESOLVED,0.769,VALIDATED,2,0.67,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|PD-L1|CTLA-4,MAB,UNRESOLVED,0.769,VALIDATED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
BCMA|CD38,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|CD19|CD79B,MAB,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD22|CD123|CD19|CD20|CD33|CD38,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD33|WT1-CALICHEAMICIN,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CEA|CEACAM5|MUC16|PD-L1,MAB,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-DUOCARMYCIN,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
HER2|EGFR-MMAF,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|EGFR|PD-L1|VEGF,MAB,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|PD-L1-MMAE,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-L1,ADC,UNRESOLVED,0.756,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
BTK,UNCLASSIFIED,UNRESOLVED,0.75,VALIDATED,10,1.0,45,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB|PROTAC,,,False,True
BTK|CD20,MAB,UNRESOLVED,0.75,VALIDATED,3,1.0,9,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19,MAB,UNRESOLVED,0.75,VALIDATED,14,1.0,35,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,True
CD20,MAB,UNRESOLVED,0.75,VALIDATED,185,1.0,767,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CD20|BTK,MAB,UNRESOLVED,0.75,VALIDATED,10,1.0,63,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|CD19,MAB,UNRESOLVED,0.75,VALIDATED,8,1.0,23,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD30|CD20,ADC,UNRESOLVED,0.75,VALIDATED,5,1.0,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD38,MAB,UNRESOLVED,0.75,VALIDATED,38,1.0,154,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
CTLA-4|PD-1|TCR,MAB,UNRESOLVED,0.75,VALIDATED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
EGFR,ADC,UNRESOLVED,0.75,VALIDATED,3,1.0,10,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
EGFR,MAB,UNRESOLVED,0.75,VALIDATED,207,1.0,688,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
FGFR,MAB,UNRESOLVED,0.75,VALIDATED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
HER2,MAB,UNRESOLVED,0.75,VALIDATED,181,1.0,904,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
HER2|ER,MAB,UNRESOLVED,0.75,VALIDATED,15,1.0,65,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
NECTIN4|PD-1,ADC,UNRESOLVED,0.75,VALIDATED,3,1.0,34,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|EGFR|PD-L1,MAB,UNRESOLVED,0.75,VALIDATED,2,0.67,12,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|PD-L1,MAB,UNRESOLVED,0.75,VALIDATED,89,1.0,455,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-1|VEGF,MAB,UNRESOLVED,0.75,VALIDATED,11,1.0,80,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-L1|VEGF,MAB,UNRESOLVED,0.75,VALIDATED,13,1.0,75,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
TROP-2,ADC,UNRESOLVED,0.75,VALIDATED,15,1.0,73,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
VEGF|EGFR,MAB,UNRESOLVED,0.75,VALIDATED,13,1.0,89,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CD30,MAB,UNRESOLVED,0.711,VALIDATED,3,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
ER|HER2,MAB,UNRESOLVED,0.668,VALIDATED,4,1.0,9,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-L1|HER2,MAB,UNRESOLVED,0.653,VALIDATED,3,1.0,13,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
ALK|EGFR|FGFR|HER2|LAG-3,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
AR|HER3,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
B7-H3-DXD,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
BCL-2|CD20,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
BCMA|CD25,CAR-T,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
BTK|CD19,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD20|CD22|CD30,CAR-T,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|TCR,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|5T4,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|CD79B,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|VEGFR2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD22|ANG2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD22|CD19|CD3|CD25|CD28,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD25|PD-1|PD-L1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD30,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CD38|CTLA-4|LAG-3|PD-1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD40|PD-1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CLDN18.2|CTLA-4|PD-1|PD-L1,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CLDN18.2|PD-1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CLDN18.2|VEGF,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CLDN6,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CTLA-4|HER2|PD-1|PD-L1,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CTLA-4|PD-1,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,10,1.0,75,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
EGFR|HER2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,18,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
EGFR|PD-1,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
FOLR1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
GDF15,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
GPRC5D,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
GPRC5D|CD3,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2-DUO5,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-ERIBULIN,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|PD-1,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|TROP-2,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,13,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2|TROP-2-KL610023,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|VEGF,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER3|HER2,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER3|HER2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER3|PD-1|VEGF,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
IL-6,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
IL1RAP,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
LAG-3,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
PD-1|CD16|ER,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|CD19,CAR-T,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|CD19,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|LAG-3,BISPECIFIC,UNRESOLVED,0.646,VALIDATED,1,0.33,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-1|LAG-3,MAB,UNRESOLVED,0.646,VALIDATED,5,1.0,38,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-1|LAG-3|PD-L1|TIM-3,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|PD-L1|PD-L2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-L1-TOP1I,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
ROR1|CD20,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
SEMA4D|PD-L1,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
TISSUE FACTOR|PD-1,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
TISSUE FACTOR|PD-1|VEGF,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
TROP-2|PD-1,ADC,UNRESOLVED,0.646,VALIDATED,1,0.33,23,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
VEGF|BCL-XL,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
VEGF|ER|HER2,MAB,UNRESOLVED,0.646,VALIDATED,1,0.33,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
WT1,CAR-T,UNRESOLVED,0.646,VALIDATED,1,0.33,9,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,True
CD20,BISPECIFIC,UNRESOLVED,0.622,VALIDATED,2,0.67,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
HER2-DM1,ADC,UNRESOLVED,0.622,VALIDATED,3,1.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
HER2|PD-1,ADC,UNRESOLVED,0.622,VALIDATED,3,1.0,44,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|CD28,MAB,UNRESOLVED,0.622,VALIDATED,2,0.67,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-L1|VEGF,BISPECIFIC,UNRESOLVED,0.622,VALIDATED,2,0.67,20,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CD3|GPRC5D,BISPECIFIC,UNRESOLVED,0.599,CONTESTED,2,0.67,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-AURISTATIN,ADC,UNRESOLVED,0.599,CONTESTED,3,1.0,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-1|CD73,MAB,UNRESOLVED,0.599,CONTESTED,2,0.67,13,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PSMA,MAB,UNRESOLVED,0.583,CONTESTED,5,1.0,23,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
BCMA,MAB,UNRESOLVED,0.574,CONTESTED,5,1.0,15,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
CD20|CD38,MAB,UNRESOLVED,0.574,CONTESTED,2,0.67,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD30|ALK,ADC,UNRESOLVED,0.574,CONTESTED,2,0.67,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD33-CALICHEAMICIN,ADC,UNRESOLVED,0.574,CONTESTED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|EGFR,ADC,UNRESOLVED,0.574,CONTESTED,2,0.67,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2|EGFR,MAB,UNRESOLVED,0.574,CONTESTED,2,0.67,18,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2|HER3|AR|EGFR,BISPECIFIC,UNRESOLVED,0.574,CONTESTED,2,0.67,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
MET,ADC,UNRESOLVED,0.574,CONTESTED,2,0.67,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
PD-1|CEA,MAB,UNRESOLVED,0.574,CONTESTED,2,0.67,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
PD-L1,BISPECIFIC,UNRESOLVED,0.574,CONTESTED,4,1.0,10,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
VEGF|PD-1,MAB,UNRESOLVED,0.574,CONTESTED,2,0.67,51,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
BCMA-MMAF,ADC,UNRESOLVED,0.55,CONTESTED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
BTK,MAB,UNRESOLVED,0.55,CONTESTED,1,0.33,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB|PROTAC,,,False,True
CD137|CTLA-4,MAB,UNRESOLVED,0.55,CONTESTED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD137|PD-1,MAB,UNRESOLVED,0.55,CONTESTED,1,0.33,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD3|BCL-2,BISPECIFIC,UNRESOLVED,0.55,CONTESTED,1,0.33,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD3|CD20|BCL-2,BISPECIFIC,UNRESOLVED,0.55,CONTESTED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD3|CTLA-4|PD-1,BISPECIFIC,UNRESOLVED,0.55,CONTESTED,1,0.33,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
